ID,Order,Date,Tweet,Opinion,Emotion,May-be Emotion,Emotion class,Sentiment,Sarcasm
37513,464,12-Sep-17,I saw at least 50 trucks on a vacant lot off lantana & congress yesterday- sure hope they're gonna be working,,,,"
",Ng,1
41692,14,11-Sep-17,COME GET THIS FUCKING TREE OFF THE POWER LINE,,1,,A,Ng,
60677,16,11-Sep-17,OMG! Did you see all those white people looting?,,1,,A,Ng,1
39279,22,11-Sep-17,Great WHERE THE FUCK ARE THEY? 1 day later and no power for the whole county.,,1,,A,Ng,1
9227,23,12-Sep-17,"Man what Fpl doing people don't have power in North Lauderdale, Pompano Beach, Coral Springs I thought they was prepare",1,1,,A,Ng,
9226,24,12-Sep-17,"Man what Fpl doing people don't have power in North Lauderdale, Pompano Beach, Coral Springs I thought they was prepare",1,1,,A,Ng,
56767,48,09-Sep-17,"Seriously @WPTV , what's with half screen of a car driving and other side of the hurricane? Where's the ND game?!?",1,1,,A,Ng,
15103,49,12-Sep-17,Why does @WPLGLocal10 keep looping this tired story? Can they cover how young Black ppl are helping with relief efforts? Sheesh! #MediaBias,1,1,,A,Ng,1
25106,52,04-Sep-17,@WPTV how do you know trump donated 1 million dollars? He lies!,1,1,,A,Ng,
13470,54,11-Sep-17,"Unbelievable. As Hurricane #Irma strikes Florida & many fled or took cover, some decided to loot stores. (Via @wsvn ) pic.twitter.com/cLgC1PiRKT",1,1,,DG,Ng,
30627,58,10-Sep-17,@wsvn @7Weather Yo wtf can y�??all stfu and play the Falcons game,1,1,,A,Ng,
54353,71,09-Sep-17,"Those people should never be allowed to have pets again. Shelters are taking pets. If I couldn't take mine, I'd have to stay. Family.",1,1,,A,Ng,
26182,74,11-Sep-17,@wsvn where is fp&l and all their hundreds of trucks? I thought they were prepared. Mad as heck! #ithinknot,1,1,,A,Ng,1
26345,76,06-Sep-17,Can't even properly prepare because oh yeah..I'm at work in Pasco freaking county!,1,1,,A,Ng,1
29061,95,12-Sep-17,@wptv no n e 1 can help with TREES DAMAGED VERY #DANGEROUS My husband recently no idea whatdo! Cant afford $900 ppl knocking on door askin!,,1,,A,Ng,
56847,96,17-Sep-17,@news6wkmg hey put the Patriots and Saints game!! I would really appreciate it,,1,,A,,1
33912,97,10-Sep-17,"scum bags listen to Texas Florida, ALL LOOTERS WILL BE SHOT!",,1,,A,Ng,
38856,99,05-Sep-17,Seriously? it's not hard to realize we have a cat 5 hurricane coming at us? school districts really aren't intelligent. irony.,1,1,,A,Ng,
27906,100,07-Sep-17,@wsvn why this gas station keep saying the fuel truck on the way but can't tell us anything else for the last 3 hours. Been here since 6.,,1,Confusion,A,Ng,
34196,101,16-Sep-17,They didn't fix nothing all day 59k without power in pinellas still. We still in the dark.,1,1,,A,Ng,
19614,104,18-Sep-17,Awesome! Cuz @FLGovScott doesn't care about hungry people. FL not doing #DSNAP disaster food replacement program. http://www. myflfamilies.com/disaster,1,1,,A,,1
19401,106,16-Sep-17,"They said midnight yesterday, now maybe EOD today... we will see. It's garbage that we can't change power companies... #Monopoly",1,1,Disgust,A,Ng,
59477,107,20-Sep-17,"Day 12th in north miami ,not a single truck!@insideFPL",,1,,A,Ng,
