TweetID,UserID,date_time,TweetBody,Lat_long,classification,sentiment,notes
"|""261938696272629761""",man_EE,10/26/2012 21:13,-1 RT @_dreamvillle: On a scale from 1-5 how serious should I take this hurricane?,|,conversational,positive,
"|""261964535831871488""",xGrumpyOlTrollx,10/26/2012 22:56,@jenfromTHEbloc Hi! I have you and all your NY friends in my thoughts and prayers.  Hopefully the storm wont be too bad.,|,conversational,positive,
"|""261985749170270208""",22FOURCOM,10/27/2012 0:20,#Pakistan Salesforce Social Marketing Cloud Bursts as Radian6 Buddy Media Hit Storm - brandchannel... http://t.co/rcxnWb9E #SocialMedia,|,irrelevant,irrelevant,
"|""262095362175684609""",MuthuKrish7,10/27/2012 7:36,Frankenstorm heads toward US East Coast: Hurricane Sandy pulled away from the Bahamas on Saturday after killing at... http://t.co/QaLfpxNa,|,conversational,negative,
"|""262227769931493376""",Seahawks_Sigs,10/27/2012 16:22,5 reasons why Sandy is expected to be a superstorm: Forecasters are warning that Sandy could be a storm of epic ... http://t.co/vDBoDzf8,|,conversational,negative,
"|""262235426356596736""",ssjarvs,10/27/2012 16:52,Hurricane Sandy is hitting Chick Fil A hard - 10 minute wait in line? #nothankyousir,|,conversational,negative,
"|""262239836457545729""",CamP_Knights,10/27/2012 17:10,If this storm come next week <<<< if its no school >>> Im wit that!,|,conversational,positive,
"|""262258318133821440""",SunnyLuciani,10/27/2012 18:23,RT @NBCConnecticut: Malloy will fully activate the State Emgergency Operations Center at 10 am Sunday #Sandy,|,informational,neutral,
"|""262268521101279232""",JockinGC,10/27/2012 19:04,RT @NBCConnecticut: Malloy: Everyone is in danger #Sandy,|,conversational,negative,
"|""262304338985230336""",BiggGrizzz,10/27/2012 21:26,"""@Dankula This is all I need for the storm!! http://t.co/ZDUK8sen",|,conversational,positive,
"|""262305677790289920""",_K_Brown,10/27/2012 21:32,RT @ChrisPedersen_3: During this hurricane we are all going to reunite on Xbox like the good ole days,|,conversational,positive,
"|""262329062167560192""",dtinsley,10/27/2012 23:04,RT @WSJweather: After the Bloomberg presser let me emphasize again: Impacts from #Sandy in NYC will very much be hurricane-like probably worse than Irene.,|,conversational,negative,
"|""262335503569932288""",whatdyoushay,10/27/2012 23:30,RT @rachelpaigebaby: &amp;&amp; to think last year during Hurricane Irene my neighborhood was canoeing around... #HurricaneSandy please be kind... ðŸ˜°,|,conversational,negative,
"|""262413738303438848""",LongHQ,10/28/2012 4:41,Hurricane Sandys Threat: 10 Days in the Dark:                   http://t.co/ffThRPEy,|,conversational,negative,
"|""262414777509359616""",SyrianUragan,10/28/2012 4:45,@babydeexx Yea with that Hurricane Sandy and also the Earthquake on Vancouver lol,|,conversational,positive,
