"ID","Manual Coding","Tweet"
"26779","2","We can understand Naples. I am in Dr Phillips, Orange County! There is barely any significant damage, yet they are still ""assessing"". Joke!"
"6764","2","where my electricity at"
"9061","2","52 hours without power"
"16484","2","putting Vegas over/under odds on if you get my power back on by 11pm I'm going with the over"
"3877","2"," can you do something regarding my power? It's been 8 days w/o it.  trucks pass by my street to ""see"" but don't fix!!"
"1131","1","now I'm sure FPL will do what you promised after hurricane Wilma! u had 12 years & did very little. even pro active tree trimming stopped."
"12142","2","Drove around. Surrounding area has power. What the fuck  ???"
"1154","2","Really?  ticket just keeps delaying, now nearing 2 weeks with no power! No FPL crew onsite at all.  "
"17429","4","Citra fl still without power, I still have lines in my yard, I'm on disability and it's hard to get in my yard, 1631 ne 180 st. Citra fl."
"1002","6","Some solar panels and my storm surcharge money back basically haha. I appreciate it though"
"18264","3","Hey,  , this seems like possible price-gouging /criminal behavior. Please look into this  -  wfla.com/2017/09/15/tar get-8-duke-energy-billing-shocks-power-customers/ â¦"
"15267","6","WE HAVE POWER! Thank you to the hard working team at  and the leadership of  . Our furry dog will be so happy!  â bei San Marco"
"17228","2","Charlie, here is your chance to show up  and his  cronies. Help restore power faster!"
"19278","2","I've seen repairs for category 5 Hurricanes made MUCH faster than this. They didn't spend 3 days ""assessing"" damage before working either."
"12513","6","just got power love u"
"9749","2","when is your website going to work  even the app doesnt work. i just want to see when my power is going to come back on."
"20823","2","Pinellas county is supposed to have power back by midnight tonight. It's 10:38. I don't feel confident #dukeenergysux"
"15171","8","A #drones partnership among  ,  and  restored power in Jacksonville after #Irma .  uasmagazine.com/articles/1750/ drones-help-restore-power-in-jacksonville-after-hurricane-irma â¦"
"10512","8",".  CEO: Company has 4,500 working in  2 restore power - Part of 19,500 working throughout the State.  â bei MDFR Headquarters and Training Center"
"12505","6","Shoutout to  for restoring our power already. Got the damn generator set up and then power comes on. #Blessed #AfterIrma"
"19588","2","Power is a need in Florida. You can't survive without it. I don't know if I can go to bed in a puddle of my own sweat once more."
"27389","","So proud of our team working on #industrial #water #research for  . Great job today at #2017symp !"
"3863","","How about an act of man, like insufficient vegetation management around power lines and utility poles?"
"4888","2","Day 6 and still no power"
"1592","2","In response to lawsuits,  blames  lush trees for difficulties with restoring power.  "
"11002","2","Looks like I'm sleeping in my car tonight on to day 3 without power"
"23915","6","My house isn't in a lake or destroyed, therefore duke can take as long as they like to fix my power. *logic*"
"14362","8","Visit  StormCenter for important tips before #HurricaneIrma & after.  fpl.com/storm.html?cid =MC17EN015 â¦"
"27179","","OHHHH YOUR POWER!!!! THOUGHT YOU MEANT LIKE SUPERPOWERS"
"3001","3","Why don't u use ur influence 2 get  2 answer customer questions re when power will be back on? We have lives to live."
"11635","6","Thank you, thank you!!!!! Power just came on."
"27817","1","I feel like it's an infrastructure problem over here.Not the actual storm,it happens in this area w/out damage."
"15137","2","are you providing updates on power outages?"
"2835","2","Aka and the sun rises on ANOTHER DAY WITHOUT POWER. Apparently, we're one of the lucky 60,000   ...  fb.me/zVHL7Y3G"
"28161","8","in sure u r aware but no power since 1am In Northwood oaks...53rd and 34th. B safe"
"8816","4","we need power in North lauderdale"
"25897","8","my power came back on last night. 1/2 my hood is still w/o power though"
"1625","","calls out  . #Irma  miamiherald.com/news/weather/h urricane/article174101851.html â¦"
"26454","2"," every neighborhood around me has power except my street. No down trees,no broken lines, & we got a lift station that needs power"
